date,country,sku,demand
2024-01-01,AT,SKU_001,15
2024-01-01,AT,SKU_002,21
2024-01-01,AT,SKU_003,21
2024-01-01,AT,SKU_004,3
2024-01-01,AT,SKU_005,1
2024-01-01,AT,SKU_006,6
2024-01-01,AT,SKU_007,9
2024-01-01,AT,SKU_008,22
2024-01-01,AT,SKU_009,0
2024-01-01,AT,SKU_010,10
2024-01-01,AT,SKU_011,0
2024-01-01,AT,SKU_012,11
2024-01-01,AT,SKU_013,13
2024-01-01,AT,SKU_014,0
2024-01-01,AT,SKU_015,6
2024-01-01,AT,SKU_016,3
2024-01-01,AT,SKU_017,2
2024-01-01,AT,SKU_018,2
2024-01-01,AT,SKU_019,6
2024-01-01,AT,SKU_020,3
2024-01-01,AT,SKU_021,7
2024-01-01,AT,SKU_022,1
2024-01-01,AT,SKU_023,11
2024-01-01,AT,SKU_024,7
2024-01-01,AT,SKU_025,6
2024-01-01,AT,SKU_026,4
2024-01-01,AT,SKU_027,0
2024-01-01,AT,SKU_028,0
2024-01-01,AT,SKU_029,0
2024-01-01,AT,SKU_030,4
2024-01-01,AT,SKU_031,5
2024-01-01,AT,SKU_032,10
2024-01-01,AT,SKU_033,10
2024-01-01,AT,SKU_034,2
2024-01-01,AT,SKU_035,4
2024-01-01,AT,SKU_036,5
2024-01-01,AT,SKU_037,4
2024-01-01,AT,SKU_038,1
2024-01-01,AT,SKU_039,10
2024-01-01,AT,SKU_040,4
2024-01-01,AT,SKU_041,13
2024-01-01,AT,SKU_042,11
2024-01-01,AT,SKU_043,7
2024-01-01,AT,SKU_044,0
2024-01-01,AT,SKU_045,14
2024-01-01,AT,SKU_046,14
2024-01-01,AT,SKU_047,6
2024-01-01,AT,SKU_048,2
2024-01-01,AT,SKU_049,2
2024-01-01,AT,SKU_050,0
2024-01-01,CH,SKU_001,12
2024-01-01,CH,SKU_002,19
2024-01-01,CH,SKU_003,15
2024-01-01,CH,SKU_004,0
2024-01-01,CH,SKU_005,0
2024-01-01,CH,SKU_006,10
2024-01-01,CH,SKU_007,9
2024-01-01,CH,SKU_008,20
2024-01-01,CH,SKU_009,0
2024-01-01,CH,SKU_010,3
2024-01-01,CH,SKU_011,0
2024-01-01,CH,SKU_012,7
2024-01-01,CH,SKU_013,6
2024-01-01,CH,SKU_014,7
2024-01-01,CH,SKU_015,7
2024-01-01,CH,SKU_016,3
2024-01-01,CH,SKU_017,1
2024-01-01,CH,SKU_018,1
2024-01-01,CH,SKU_019,4
2024-01-01,CH,SKU_020,1
2024-01-01,CH,SKU_021,7
2024-01-01,CH,SKU_022,1
2024-01-01,CH,SKU_023,12
2024-01-01,CH,SKU_024,7
2024-01-01,CH,SKU_025,4
2024-01-01,CH,SKU_026,5
2024-01-01,CH,SKU_027,2
2024-01-01,CH,SKU_028,0
2024-01-01,CH,SKU_029,2
2024-01-01,CH,SKU_030,6
2024-01-01,CH,SKU_031,0
2024-01-01,CH,SKU_032,13
2024-01-01,CH,SKU_033,4
2024-01-01,CH,SKU_034,0
2024-01-01,CH,SKU_035,3
2024-01-01,CH,SKU_036,4
2024-01-01,CH,SKU_037,1
2024-01-01,CH,SKU_038,1
2024-01-01,CH,SKU_039,7
2024-01-01,CH,SKU_040,0
2024-01-01,CH,SKU_041,9
2024-01-01,CH,SKU_042,10
2024-01-01,CH,SKU_043,9
2024-01-01,CH,SKU_044,0
2024-01-01,CH,SKU_045,8
2024-01-01,CH,SKU_046,8
2024-01-01,CH,SKU_047,2
2024-01-01,CH,SKU_048,1
2024-01-01,CH,SKU_049,3
2024-01-01,CH,SKU_050,3
2024-01-01,DE,SKU_001,29
2024-01-01,DE,SKU_002,21
